0	0	0	1	
12	16	3	10	
45	16	7	13	
70	18	16	17	
85	33	23	20	
85	44	30	42	
91	49	45	56	
100	56	52	73	
105	60	60	96	
123	68	68	102	
137	74	87	103	
146	85	94	116	
154	100	98	129	
172	112	104	133	
212	112	104	133	
218	117	121	145	
227	147	121	146	
233	147	147	154	
236	147	149	189	
240	150	150	221	
243	168	163	227	
263	170	173	235	
270	180	185	246	
280	187	194	260	
280	227	194	260	
294	247	196	264	
304	259	204	274	
313	269	209	290	
319	277	233	292	
325	277	255	304	
329	298	258	316	
330	337	258	316	
332	354	268	327	
346	365	274	336	
348	394	281	338	
360	417	281	343	
372	427	296	346	
390	432	299	360	
417	441	303	360	
424	445	324	368	
425	448	356	372	
432	451	369	389	
434	461	397	389	
449	474	402	396	
454	490	410	407	
458	520	414	409	
458	558	414	411	
465	571	431	414	
477	575	431	438	
477	575	431	478	
480	579	442	500	
487	588	458	508	
487	590	493	511	
497	599	505	520	
501	607	508	545	
503	617	516	565	
503	654	516	568	
506	686	517	572	
515	698	524	584	
555	698	524	584	
570	704	535	592	
597	705	545	594	
601	717	561	602	
601	720	597	603	
616	741	601	603	
624	748	614	615	
634	757	626	624	
645	773	636	627	
646	812	636	627	
664	821	642	634	
669	830	649	653	
704	833	649	655	
735	841	650	655	
739	862	653	667	
754	865	665	677	
757	873	688	683	
762	873	722	684	
775	878	734	694	
805	881	740	695	
835	882	746	698	
866	888	747	700	
887	892	753	709	
903	896	756	722	
903	896	756	762	
908	904	758	787	
917	920	766	794	
926	921	775	815	
948	923	778	828	
955	926	797	839	
971	937	801	848	
1011	937	801	848	
1040	939	802	856	
1045	941	806	885	
1054	953	818	892	
1072	964	824	897	
1097	975	825	900	
1110	986	838	903	
1120	994	854	909	
1122	1006	877	912	
1137	1014	886	920	
1144	1020	904	929	
1166	1023	912	936	
1183	1025	929	940	
1191	1030	942	954	
1191	1030	982	954	
1202	1035	1004	956	
1220	1038	1016	963	
1221	1044	1016	996	
1226	1046	1018	1027	
1240	1051	1033	1033	
1262	1061	1034	1040	
1302	1061	1034	1040	
1330	1062	1035	1049	
1351	1065	1041	1057	
1368	1069	1045	1070	
1385	1082	1055	1070	
1393	1099	1066	1074	
1409	1103	1074	1086	
1426	1107	1085	1094	
1446	1123	1088	1095	
1465	1124	1099	1103	
1484	1131	1111	1105	
1500	1137	1118	1116	
1510	1145	1128	1128	
1512	1152	1159	1128	
1524	1157	1178	1132	
1540	1161	1186	1144	
1554	1179	1194	1144	
1577	1184	1195	1155	
1602	1190	1202	1157	
1612	1207	1214	1158	
1622	1214	1230	1165	
1624	1215	1242	1188	
1627	1222	1253	1207	
1631	1228	1256	1234	
1646	1241	1260	1242	
1649	1270	1265	1245	
